symbol,asset_name,sector,industry,first_traded,index_inclusion
ARMK,ARAMARK,Industrials,Specialty Business Services,2013-12-12,
WTRG,ESSENTIAL UTILITIES INC,Utilities,Utilities - Regulated Water,1980-03-17,
ALSN,ALLISON TRANSMISSION HOLDINGS INC,Consumer Cyclical,Auto Parts,2012-03-15,
CNH,CNH INDUSTRIAL N.V. NV,Industrials,Farm & Heavy Construction Machinery,2013-09-30,
RGLD,ROYAL GOLD INC,Basic Materials,Gold,1981-06-09,
LKQ,LKQ CORP,Consumer Cyclical,Auto Parts,2003-10-06,2016-05-23
PRI,PRIMERICA INC,Financial Services,Insurance - Life,2010-04-01,
FOXA,FOX CORP CLASS A,Communication Services,Entertainment,2019-03-12,2019-03-04
FHN,FIRST HORIZON CORP,Financial Services,Banks - Regional,1980-03-17,
TFX,TELEFLEX INC,Healthcare,Medical Instruments & Supplies,1980-03-17,2019-01-18
EXP,EAGLE MATERIALS INC,Basic Materials,Building Materials,1994-04-12,
GNRC,GENERAC HOLDINGS INC,Industrials,Specialty Industrial Machinery,2010-02-11,2021-03-22
AYI,ACUITY BRANDS INC,Industrials,Electrical Equipment & Parts,2001-12-03,
CIEN,CIENA CORP,Technology,Communication Equipment,1997-02-07,
EXEL,EXELIXIS INC,Healthcare,Biotechnology,2000-04-17,
Z,ZILLOW GROUP INC CLASS C,Communication Services,Internet Content & Information,2015-08-03,
MLI,MUELLER INDUSTRIES INC,Industrials,Metal Fabrication,1991-02-25,
TAP,MOLSON COORS BREWING CLASS B,Consumer Defensive,Beverages - Brewers,1975-06-12,1976-06-30
ALLY,ALLY FINANCIAL INC,Financial Services,Credit Services,2014-01-28,
EVR,EVERCORE INC CLASS A,Financial Services,Capital Markets,2006-08-14,
AFG,AMERICAN FINANCIAL GROUP INC,Financial Services,Insurance - Property & Casualty,1980-03-17,
GL,GLOBE LIFE INC,Financial Services,Insurance - Life,1980-10-01,1989-04-30
HSIC,HENRY SCHEIN INC,Healthcare,Medical Distribution,1995-11-03,2015-03-17
QGEN,QIAGEN NV,Healthcare,Diagnostics & Research,1996-06-28,
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Real Estate,REIT - Mortgage,1997-10-08,
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,REIT - Retail,1973-05-03,2016-02-01
MTCH,MATCH GROUP INC,Communication Services,Internet Content & Information,1993-01-19,2021-09-20
KNSL,KINSALE CAPITAL GROUP INC,Financial Services,Insurance - Property & Casualty,2016-07-28,
SCCO,SOUTHERN COPPER CORP,Basic Materials,Copper,1996-01-05,
CRL,CHARLES RIVER LABORATORIES INTERNA,Healthcare,Diagnostics & Research,2000-06-23,2021-05-14
TKO,TKO GROUP HOLDINGS INC CLASS A,Communication Services,Entertainment,1999-10-19,
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Industrial Distribution,1980-03-17,
REXR,REXFORD INDUSTRIAL REALTY REIT INC,Real Estate,REIT - Industrial,2013-07-19,
KBR,KBR INC,Industrials,Engineering & Construction,2006-11-16,
HAS,HASBRO INC,Consumer Cyclical,Leisure,1980-03-17,1984-09-30
NYT,NEW YORK TIMES CLASS A,Communication Services,Publishing,1973-05-03,
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Oil & Gas E&P,2016-04-15,
WBS,WEBSTER FINANCIAL CORP,Financial Services,Banks - Regional,1986-12-12,
MUSA,MURPHY USA INC,Consumer Cyclical,Specialty Retail,2013-08-19,
FYBR,FRONTIER COMMUNICATIONS PARENT INC,Communication Services,Telecom Services,2021-05-04,
HRL,HORMEL FOODS CORP,Consumer Defensive,Packaged Foods,1980-03-17,2009-03-04
AOS,A O SMITH CORP,Industrials,Specialty Industrial Machinery,1983-09-30,2017-07-26
HLI,HOULIHAN LOKEY INC CLASS A,Financial Services,Capital Markets,2015-08-13,
DCI,DONALDSON INC,Industrials,Specialty Industrial Machinery,1980-03-17,
INGR,INGREDION INC,Consumer Defensive,Packaged Foods,1997-12-11,
ITCI,INTRA CELLULAR THERAPIES INC,Healthcare,Drug Manufacturers - Specialty & Generic,2014-01-07,
MORN,MORNINGSTAR INC,Financial Services,Financial Data & Stock Exchanges,2005-05-03,
CPB,CAMPBELL SOUP,Consumer Defensive,Packaged Foods,1973-02-21,1957-03-04
FLR,FLUOR CORP,Industrials,Engineering & Construction,2000-12-01,
WAL,WESTERN ALLIANCE,Financial Services,Banks - Regional,2005-07-01,
MOS,MOSAIC,Basic Materials,Agricultural Inputs,1988-01-26,2011-09-26
LAD,LITHIA MOTORS INC CLASS A,Consumer Cyclical,Auto & Truck Dealerships,1996-12-18,
APA,APA CORP,Energy,Oil & Gas E&P,1979-05-15,1997-07-28
AAL,AMERICAN AIRLINES GROUP INC,Industrials,Airlines,2005-09-27,
BRBR,BELLRING BRANDS INC,Consumer Defensive,Packaged Foods,2019-10-18,
LBRDK,LIBERTY BROADBAND CORP SERIES C,Communication Services,Telecom Services,2014-11-05,
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financial Services,Insurance - Property & Casualty,1980-03-17,
SNX,TD SYNNEX CORP,Technology,Electronics & Computer Distribution,2003-11-25,
ENSG,ENSIGN GROUP INC,Healthcare,Medical Care Facilities,2007-11-09,
CMA,COMERICA INC,Financial Services,Banks - Regional,1980-03-17,
X,US STEEL CORP,Basic Materials,Steel,1991-04-12,
AXTA,AXALTA COATING SYSTEMS LTD,Basic Materials,Specialty Chemicals,2014-11-12,
CZR,CAESARS ENTERTAINMENT INC,Consumer Cyclical,Resorts & Casinos,2014-09-22,2021-03-22
GLOB,GLOBANT SA,Technology,Information Technology Services,2014-07-18,
CNM,CORE & MAIN INC CLASS A,Industrials,Industrial Distribution,2021-07-22,
FN,FABRINET,Technology,Electronic Components,2010-06-25,
OLED,UNIVERSAL DISPLAY CORP,Technology,Electronic Components,1996-04-11,
DTM,DT MIDSTREAM INC,Energy,Oil & Gas Midstream,2021-07-01,
VOYA,VOYA FINANCIAL INC,Financial Services,Financial Conglomerates,2013-05-02,
MGM,MGM RESORTS INTERNATIONAL,Consumer Cyclical,Resorts & Casinos,1988-05-02,2017-07-26
TTC,TORO,Industrials,Tools & Accessories,1980-03-17,
WING,WINGSTOP INC,Consumer Cyclical,Restaurants,2015-06-12,
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate,REIT - Industrial,1973-02-21,
WCC,WESCO INTERNATIONAL INC,Industrials,Industrial Distribution,1999-05-12,
GME,GAMESTOP CORP CLASS A,Consumer Cyclical,Specialty Retail,2002-02-13,
PCTY,PAYLOCITY HOLDING CORP,Technology,Software - Application,2014-03-19,
RIVN,RIVIAN AUTOMOTIVE INC CLASS A,Consumer Cyclical,Auto Manufacturers,2021-11-10,
LNW,LIGHT WONDER INC,Consumer Cyclical,Gambling,1984-08-23,
PEN,PENUMBRA INC,Healthcare,Medical Devices,2015-09-18,
OGE,OGE ENERGY CORP,Utilities,Utilities - Regulated Electric,1973-02-21,
GMED,GLOBUS MEDICAL INC CLASS A,Healthcare,Medical Devices,2012-08-03,
GPK,GRAPHIC PACKAGING HOLDING,Consumer Cyclical,Packaging & Containers,1992-12-10,
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Industrials,Trucking,1994-10-25,
HRB,H&R BLOCK INC,Consumer Cyclical,Personal Services,1973-02-21,
RBC,RBC BEARINGS INC,Industrials,Tools & Accessories,2005-08-10,
RL,RALPH LAUREN CORP CLASS A,Consumer Cyclical,Apparel Manufacturing,1997-06-12,2007-02-02
BRX,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,REIT - Retail,2013-10-30,
BERY,BERRY GLOBAL GROUP INC,Consumer Cyclical,Packaging & Containers,2012-10-04,
FMC,FMC CORP,Basic Materials,Agricultural Inputs,1980-03-17,2009-08-19
