symbol,asset_name,sector,industry,first_traded,index_inclusion
UTZ,"Utz Brands, Inc.",Consumer Defensive,Packaged Foods,2018-11-26,
AMSF,"AMERISAFE, Inc.",Financial Services,Insurance—Specialty,2005-11-18,
ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,2008-07-02,
FMBH,"First Mid Bancshares, Inc.",Financial Services,Banks—Regional,1999-03-16,
NN,NextNav Inc.,Technology,Software—Infrastructure,2020-11-02,
RC,Ready Capital Corporation,Real Estate,REIT—Mortgage,2013-02-08,
BORR,Borr Drilling Limited,Energy,Oil & Gas Drilling,2019-07-30,
TRS,TriMas Corporation,Consumer Cyclical,Packaging & Containers,2007-05-18,
FIP,FTAI Infrastructure Inc.,Industrials,Conglomerates,2022-07-20,
GABC,"German American Bancorp, Inc.",Financial Services,Banks—Regional,1993-05-21,
DAN,Dana Incorporated,Consumer Cyclical,Auto Parts,2008-01-02,
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,1987-08-28,
FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,1993-11-16,
KNSA,"Kiniksa Pharmaceuticals International, plc",Healthcare,Drug Manufacturers—Specialty & Generic,2018-05-25,
QNST,"QuinStreet, Inc.",Communication Services,Advertising Agencies,2010-02-11,
CGEM,"Cullinan Therapeutics, Inc.",Healthcare,Biotechnology,2021-01-08,
LZ,"LegalZoom.com, Inc.",Industrials,Specialty Business Services,2021-06-30,
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,REIT—Residential,2015-03-19,
ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,2021-03-26,
SAVA,"Cassava Sciences, Inc.",Healthcare,Biotechnology,2000-07-14,
OPEN,Opendoor Technologies Inc.,Real Estate,Real Estate Services,2020-06-18,
PYCR,"Paycor HCM, Inc.",Technology,Software—Application,2021-07-21,
SPRY,"ARS Pharmaceuticals, Inc.",Healthcare,Biotechnology,2020-12-04,
MD,"Pediatrix Medical Group, Inc.",Healthcare,Medical Care Facilities,1995-09-20,
TRML,"Tourmaline Bio, Inc.",Healthcare,Biotechnology,2021-05-07,
XPEL,"XPEL, Inc.",Consumer Cyclical,Auto Parts,2019-07-01,
CFFN,"Capitol Federal Financial, Inc.",Financial Services,Banks—Regional,1999-04-01,
GBTG,"Global Business Travel Group, Inc.",Technology,Software—Application,2022-08-18,
DNUT,"Krispy Kreme, Inc.",Consumer Defensive,Grocery Stores,2021-07-01,
NBN,Northeast Bank,Financial Services,Banks—Regional,1987-08-19,
SPNS,Sapiens International Corporation N.V.,Technology,Software—Application,1998-03-05,
VICR,Vicor Corporation,Technology,Electronic Components,1990-04-03,
BBSI,"Barrett Business Services, Inc.",Industrials,Staffing & Employment Services,1993-06-11,
CNOB,"ConnectOne Bancorp, Inc.",Financial Services,Banks—Regional,1994-04-04,
DRVN,Driven Brands Holdings Inc.,Consumer Cyclical,Auto & Truck Dealerships,2021-01-19,
